country,date,Population,NewCases,TotalCases,NewDeaths,TotalDeaths,lat,long
Mexico_2020,8/16,127576000,4448,522162,214,56757,23.6345,-102.5528
Mexico_2020,8/17,127576000,3571,525733,266,57023,23.6345,-102.5528
Mexico_2020,8/18,127576000,5506,531239,751,57774,23.6345,-102.5528
Mexico_2020,8/19,127576000,5792,537031,707,58481,23.6345,-102.5528
Mexico_2020,8/20,127576000,6775,543806,625,59106,23.6345,-102.5528
Mexico_2020,8/21,127576000,5928,549734,504,59610,23.6345,-102.5528
Mexico_2020,8/22,127576000,6482,556216,644,60254,23.6345,-102.5528
Mexico_2020,8/23,127576000,3948,560164,226,60480,23.6345,-102.5528
Mexico_2020,8/24,127576000,3541,563705,320,60800,23.6345,-102.5528
Mexico_2020,8/25,127576000,4916,568621,650,61450,23.6345,-102.5528
Mexico_2020,8/26,127576000,5267,573888,626,62076,23.6345,-102.5528
Mexico_2020,8/27,127576000,6026,579914,518,62594,23.6345,-102.5528
Mexico_2020,8/28,127576000,5824,585738,552,63146,23.6345,-102.5528
Mexico_2020,8/29,127576000,5974,591712,673,63819,23.6345,-102.5528
Mexico_2020,8/30,127576000,4129,595841,339,64158,23.6345,-102.5528
Mexico_2020,8/31,127576000,3719,599560,256,64414,23.6345,-102.5528
Mexico_2020,9/1,127576000,6476,606036,827,65241,23.6345,-102.5528
Mexico_2020,9/2,127576000,4921,610957,575,65816,23.6345,-102.5528
Mexico_2020,9/3,127576000,5937,616894,513,66329,23.6345,-102.5528
Mexico_2020,9/4,127576000,6196,623090,522,66851,23.6345,-102.5528
Mexico_2020,9/5,127576000,6319,629409,475,67326,23.6345,-102.5528
Mexico_2020,9/6,127576000,4614,634023,232,67558,23.6345,-102.5528
Mexico_2020,9/7,127576000,3486,637509,223,67781,23.6345,-102.5528
Mexico_2020,9/8,127576000,5351,642860,703,68484,23.6345,-102.5528
Mexico_2020,9/9,127576000,4461,647321,565,69049,23.6345,-102.5528
Mexico_2020,9/10,127576000,5043,652364,600,69649,23.6345,-102.5528
Mexico_2020,9/11,127576000,5935,658299,534,70183,23.6345,-102.5528
Mexico_2020,9/12,127576000,5674,663973,421,70604,23.6345,-102.5528
